4 500 79 
500 500 500 500 
15 681 56 703
49 766 47 792
76 787 5 842
17 432 71 467
56 841 48 910
20 963 29 1015
52 922 73 977
28 534 9 575
9 899 53 920
73 1051 58 1124
28 851 71 924
72 630 62 673
8 1042 12 1104
13 978 45 1039
52 458 38 533
53 458 23 524
35 995 73 1028
48 987 71 1068
52 924 24 981
36 711 58 798
4 699 42 771
77 882 4 917
74 881 48 948
55 1034 22 1125
54 616 67 658
66 512 25 550
76 857 68 946
34 551 56 622
36 815 30 880
69 699 66 729
33 750 41 809
5 475 76 550
25 517 49 586
16 985 24 1061
35 439 78 528
9 585 41 640
45 696 76 754
25 646 70 696
35 683 9 734
4 926 9 958
25 971 60 1030
9 445 63 487
43 686 56 732
52 432 32 470
38 448 68 493
72 477 76 528
21 489 12 578
13 1060 69 1097
59 654 33 749
31 1029 25 1059
57 800 14 841
6 645 7 709
14 483 78 507
52 456 9 471
13 653 44 705
38 668 32 717
75 1078 70 1108
22 821 31 889
77 581 30 618
50 830 34 872
28 530 29 548
57 680 26 696
72 672 78 741
7 1070 8 1147
77 1070 28 1117
76 919 77 964
63 540 50 603
28 1028 32 1072
72 755 23 828
72 966 75 983
37 502 44 588
9 761 14 814
58 498 60 534
74 624 60 695
24 990 32 1054
64 1077 37 1146
76 584 59 613
69 613 25 650
60 739 20 799
40 517 39 554
33 853 62 952
4 739 52 779
42 601 14 678
5 615 74 678
52 598 56 643
46 898 36 956
10 447 19 473
9 1013 30 1031
55 423 5 452
27 1061 36 1087
62 446 72 502
52 951 4 987
63 702 32 750
62 890 23 927
42 848 62 905
58 892 71 964
4 466 62 541
65 998 52 1059
29 1046 59 1097
23 682 45 726
58 1045 45 1088
17 951 12 978
11 483 45 531
47 1072 19 1122
47 432 28 470
62 565 31 637
40 935 33 1001
9 734 40 760
14 667 19 696
57 727 54 782
6 509 17 608
52 421 22 456
26 522 74 581
13 543 57 574
12 814 17 840
32 1028 33 1060
78 491 52 577
40 1030 47 1062
45 669 62 751
18 1053 22 1101
20 1025 72 1091
46 981 51 1024
6 806 31 858
21 1015 50 1104
28 951 15 1007
59 774 76 812
56 940 47 973
56 874 38 889
11 440 26 473
30 510 61 533
39 867 31 918
6 767 45 807
36 550 57 583
78 449 10 494
56 579 26 637
66 913 59 981
45 859 14 924
23 566 6 635
67 443 26 504
54 1006 24 1050
76 479 21 580
19 709 26 749
46 787 70 827
7 720 67 770
51 917 22 959
32 696 50 737
24 812 73 894
22 901 45 948
61 878 39 948
16 470 13 523
62 727 70 797
21 1056 32 1110
64 942 7 1005
73 700 34 751
36 423 51 458
34 550 11 614
52 516 45 542
58 963 51 1012
34 604 53 644
60 475 75 514
36 951 49 989
47 438 76 493
6 614 57 663
68 732 49 787
49 1068 51 1099
34 950 33 1024
68 970 32 1021
78 510 59 569
32 585 26 620
58 464 67 508
44 1055 49 1095
18 602 6 693
24 983 19 1048
75 852 24 879
20 963 64 1032
75 1029 61 1069
35 554 5 603
12 664 8 699
23 671 64 712
68 751 55 858
55 700 43 743
41 582 58 618
68 661 49 717
22 584 67 621
69 770 40 810
6 1059 32 1130
49 897 11 962
23 796 62 828
77 448 8 487
46 1023 63 1052
7 1033 44 1111
9 632 20 671
20 1026 9 1060
75 679 57 743
56 761 24 838
16 438 34 490
16 866 23 944
4 531 77 586
71 567 74 652
64 430 24 471
60 881 60 1102
4 930 4 1156
54 983 54 1208
19 362 19 560
41 944 41 1217
20 1041 20 1322
76 589 76 788
51 616 51 858
6 676 6 863
40 463 40 740
68 1041 68 1314
39 418 39 653
4 965 4 1237
58 303 58 509
15 371 15 656
13 805 13 1006
35 533 35 747
65 773 65 1006
32 555 32 784
36 933 36 1230
22 338 22 521
23 414 23 664
72 1011 72 1254
68 502 68 706
28 1199 28 1406
67 377 67 583
25 452 25 707
9 987 9 1193
27 1003 27 1259
56 448 56 657
6 498 6 786
4 956 4 1184
57 1114 57 1300
17 746 17 1035
58 745 58 1040
58 966 58 1239
60 812 60 1028
53 366 53 620
64 856 64 1074
55 963 55 1249
45 1056 45 1269
18 301 18 540
14 560 14 788
10 1185 10 1478
10 307 10 560
34 1185 34 1418
52 895 52 1138
7 627 7 845
30 747 30 930
78 1073 78 1328
35 691 35 989
11 911 11 1101
51 1031 51 1295
20 578 20 875
47 359 47 571
16 559 16 799
6 668 6 951
26 348 26 550
15 821 15 1080
32 422 32 615
70 869 70 1097
58 1039 58 1281
26 1146 26 1375
6 499 6 798
53 1096 53 1307
48 765 48 954
57 1042 57 1336
30 864 30 1135
64 998 64 1243
23 360 23 654
66 988 66 1272
54 1154 54 1403
62 1137 62 1423
14 1133 14 1377
47 734 47 969
12 325 12 526
63 521 63 812
50 332 50 579
45 354 45 635
36 836 36 1116
64 572 64 847
15 907 15 1114
23 1186 23 1439
63 708 63 992
10 772 10 953
26 998 26 1231
30 757 30 942
4 1105 4 1354
74 728 74 980
42 561 42 752
31 1040 31 1223
25 342 25 611
21 458 21 665
64 301 64 577
